Data1,Data2,Data3,Data4,Data5
1234.13633785645,1234.01205560022,1233.99289457393,1234.00085824263,1234.00003458072
1234.16327132359,1233.89920324864,1233.99612981565,1233.99991294165,1233.99992789014
1232.86197491646,1234.08506772050,1234.00319833295,1233.99868107559,1233.99987575878
1234.79860920271,1233.90224684033,1234.00133795465,1234.00109950115,1234.00003061097
1235.33389168543,1233.98368804635,1233.98413570066,1234.00008936859,1234.00003572396
1234.08969390965,1234.01594585381,1234.00820347973,1234.00200325570,1233.99995446816
1233.80397093702,1234.07457871036,1233.99442884873,1233.99988159972,1233.99991499629
1231.19710630954,1233.95104785428,1233.99560750734,1233.99917134935,1233.99998274006
1234.51038335148,1234.11578815745,1233.98857092480,1233.99981056018,1233.99999153088
1235.38712684400,1234.02769488108,1234.00868032881,1233.99921065240,1234.00003251442
1232.93430691383,1234.13653558153,1233.98969445999,1233.99905813258,1234.00023112222
1235.25859751898,1233.90207859871,1234.00246031894,1233.99949027050,1233.99998147703
1233.08849126407,1234.05934769246,1234.00743508967,1234.00099347032,1233.99995556051
1234.55203041370,1233.92796177768,1233.97039650639,1233.99865567635,1234.00009943062
1233.47005942080,1233.75510827810,1233.99691671990,1234.00035525509,1234.00018070297
1233.98080167223,1234.14547593884,1234.02086612678,1234.00007764356,1233.99987345696
1232.52415376438,1233.98962603861,1233.99721151302,1234.00058644524,1233.99996065720
1234.91759839529,1233.97719956019,1233.98549230139,1233.99889717577,1233.99995469815
1233.42933012803,1233.97712854090,1233.99056119501,1234.00039861133,1234.00005067510
1234.12740499100,1233.86476500109,1234.00577386989,1233.99954801399,1234.00016050039
1233.06543937011,1234.00743726262,1233.98764829250,1233.99936644009,1233.99998944608
1233.60075512267,1233.92708182378,1233.98863895840,1233.99983935531,1233.99994751328
1234.37758618758,1234.09912367961,1234.01163961032,1233.99843754139,1234.00013421776
1232.87167273156,1233.95671966347,1233.97204695580,1233.99994427693,1233.99985568808
1234.71011475096,1234.17803505610,1234.02472799887,1234.00120548297,1233.99996413758
1232.91187399899,1234.06292080146,1234.00894733248,1233.99951596513,1234.00013803447
1233.87264085639,1233.86770920236,1233.99767430735,1234.00196246581,1233.99991359517
1233.11698335446,1234.26547567180,1234.00632202651,1233.99961420409,1233.99993106371
1234.85593736132,1234.00060722884,1233.98581202192,1234.00121774029,1233.99998393067
1232.86615170803,1234.00472163690,1233.99565896332,1233.99755107230,1234.00014120173
1234.89178508763,1234.03138671702,1234.00253555745,1234.00080216862,1233.99995210050
1232.99694438739,1233.87078337910,1234.00393973975,1234.00056864768,1234.00008372112
1234.32324233847,1233.94737874972,1234.00940837903,1233.99998877932,1233.99996356160
1231.97458823476,1234.15234806583,1233.98742519865,1233.99928839389,1234.00001378618
1231.30750397578,1233.79471911504,1233.99303339297,1233.99967789071,1234.00002688691
1232.59489254995,1233.84493516120,1234.00003881797,1234.00064517746,1234.00010186493
1235.02336173210,1233.94934994118,1233.99038610867,1234.00061351412,1234.00000124571
1234.27370703208,1233.91968463005,1233.98239494885,1233.99984504690,1233.99990201129
1233.47546671691,1234.10735551962,1233.99730482976,1233.99819056036,1234.00011012791
1234.60493649231,1234.08259210925,1233.99568007725,1233.99857373789,1233.99986193349
1235.06025423973,1234.07812445979,1234.00425111492,1234.00039133716,1233.99990064280
1234.65695418780,1233.96197160791,1233.99461556535,1234.00164862942,1234.00001117820
1233.93735136710,1233.91287794011,1233.99248660716,1233.99966496741,1234.00008676892
1234.12833613253,1233.91929018561,1233.99149395709,1234.00011178743,1233.99996907362
1234.71196898981,1234.08574120438,1233.99659254435,1234.00134757780,1234.00002884434
1231.56896497260,1233.86221248710,1233.97586562080,1234.00164777311,1234.00002390920
1234.18461470943,1234.05992986237,1234.00116567017,1234.00096396882,1234.00001635299
1232.96768388745,1233.95362975606,1234.00175366533,1233.99895834270,1234.00006433948
1233.13581085647,1233.90130903198,1233.99507858449,1234.00046176710,1233.99993798579
1235.01675781093,1234.02112029907,1234.00235577494,1234.00001044406,1234.00000967696
1234.78481844906,1234.11792486119,1234.00855206124,1234.00002741404,1233.99992566212
1234.31345974644,1233.88124681686,1234.00655336283,1234.00008632624,1233.99991680461
1234.33528397056,1233.97489020012,1233.99440563292,1233.99986889280,1233.99996924294
1233.83352386289,1233.77265728307,1233.99209795019,1233.99983893170,1233.99983499590
1233.04231904023,1233.92894540738,1233.99875728298,1233.99966615597,1233.99993851686
1232.48118034693,1233.93951652169,1233.98823188561,1233.99958100268,1233.99992836719
1234.39461782208,1233.90454201658,1234.02368375505,1234.00097952842,1233.99994701933
1234.26676965794,1234.12695219286,1234.00577229623,1234.00045103960,1234.00002188602
1234.10659645240,1234.01813669866,1234.01019234061,1233.99910144878,1233.99996316316
1233.86371457770,1234.12293238080,1234.00840621037,1234.00143175171,1234.00017093566
1234.15860623927,1233.79579350105,1234.00798588630,1233.99870813148,1234.00009364452
1234.89351179890,1233.96775726249,1233.99709840747,1233.99851225859,1234.00008631794
1233.86840857457,1233.93307628183,1233.99832267062,1234.00010108981,1234.00018827097
1233.21225451185,1234.03349056370,1233.98444291791,1233.99896174398,1233.99999787969
1233.74684084713,1234.04754542657,1234.02888653854,1234.00094958992,1234.00003562849
1234.28142690843,1233.93423496006,1234.00650006431,1234.00060185782,1233.99993508361
1234.74949120551,1234.04766046202,1234.00329752371,1234.00166292044,1234.00001200083
1236.07257491439,1233.99402165367,1233.99903482794,1233.99980900766,1233.99988023639
1234.63916420023,1234.15437692723,1233.99559264272,1233.99905867572,1234.00001350209
1233.57108490542,1233.88838545497,1233.99611256370,1234.00078071613,1233.99994749628
1236.28227900961,1234.05546357673,1234.00170333188,1234.00078102871,1234.00008006450
1234.39779586591,1234.02799176257,1233.99531566624,1234.00118092223,1233.99999433655
1235.41171564979,1234.01559645755,1233.99433196293,1234.00054331113,1234.00016222775
1234.26090081986,1234.01258337745,1234.01151582441,1234.00092758944,1233.99991829228
1234.01026831278,1234.09389707224,1234.00170287859,1233.99977766458,1233.99998948959
1235.14089978494,1233.99548935604,1234.01011153481,1234.00002812389,1233.99996344718
1234.92630351494,1233.84538527470,1233.99898748779,1234.00016101928,1234.00005618540
1233.34538281389,1233.86170815061,1233.99146759104,1233.99885001270,1234.00006092565
1235.75702867004,1233.93942754018,1233.99565439612,1233.99858400928,1234.00011821594
1233.22076228786,1233.94115564435,1234.00833019381,1234.00196591552,1233.99989094019
1233.74704521712,1234.08552144888,1234.00935525856,1233.99921034514,1234.00004568033
1234.25440363449,1234.06607202957,1234.00194745373,1233.99863001558,1233.99984151584
1232.29757833339,1234.29872801266,1234.01532950564,1234.00049717072,1234.00008742172
1235.24996879539,1234.02024639275,1234.00133722021,1233.99958359889,1233.99989833385
1233.91318688756,1233.92747954432,1234.00472497237,1233.99967242529,1233.99991677116
1235.10227284642,1233.95308323422,1234.00720190786,1233.99980910488,1233.99999498352
1235.53628283022,1234.13262814883,1234.01824794538,1233.99918374312,1233.99993704768
1233.59749410358,1234.10411868692,1233.99302339028,1234.00088879344,1234.00018653513
1234.81989113773,1233.99275297981,1234.01120567073,1234.00026999091,1234.00011324656
1232.80408962169,1233.94046208673,1233.99557126872,1233.99949444633,1233.99989802500
1232.89093297608,1234.07223875045,1234.00726005197,1233.99926368399,1234.00009537976
1233.65890285662,1233.89056752633,1234.01016836632,1234.00176659456,1234.00016298818
1233.75444148947,1233.80806034096,1234.00604801464,1234.00005843903,1233.99998718194
1234.92413845002,1234.16543627926,1234.00731642540,1233.99810203196,1234.00000244457
1234.42552617566,1233.93052063350,1234.00875286922,1234.00011508168,1234.00010620984
1232.87283174446,1233.69756002222,1233.99351090982,1233.99839039544,1233.99997207551
1232.97414336026,1234.03726818080,1233.99955644645,1234.00082010409,1234.00004316303
1235.20140241306,1234.08871196668,1234.00586678742,1233.99911096797,1233.99996042675
1233.96117033386,1233.78373076735,1234.00003269450,1234.00000627909,1234.00006232756
1234.24286093424,1233.97872988195,1234.01710097926,1234.00067120582,1233.99991819474
1232.88741994110,1233.96196539764,1234.01626943596,1234.00070301396,1233.99990669760
1234.94796145459,1233.87754363630,1233.98295638953,1233.99991077051,1234.00003951065
1233.91444084549,1233.93550138070,1233.98902679576,1233.99864083012,1234.00001122857
1233.67526526113,1234.07017862358,1233.99818358093,1233.99808040439,1234.00000368421
1234.10553060510,1234.02278707679,1233.99216494967,1233.99952279338,1234.00008612548
1233.51928314676,1233.88391389770,1234.01275383984,1234.00121975074,1233.99996139620
1234.01510463999,1233.96761206120,1233.99950026650,1234.00046142187,1233.99993866986
1234.41703712614,1233.92098277981,1234.00300746465,1233.99882413555,1234.00000809365
1234.73126939008,1233.86058445162,1234.00532776668,1233.99973624593,1234.00008419582
1233.45073703366,1234.14064908758,1234.00139296450,1233.99937813531,1234.00019806081
1234.41699468730,1233.99731401967,1233.98079579129,1234.00060548614,1233.99999338644
1234.57513261838,1233.85523150566,1234.00384729148,1234.00138725653,1233.99998780822
1233.92110342077,1234.04321318690,1233.98934600736,1233.99914660143,1233.99986360262
1232.94718868649,1234.03464757098,1233.99126598104,1234.00165323045,1233.99999627393
1234.04095561736,1234.09837760073,1234.00818703798,1234.00033722936,1233.99988509809
1233.08590475014,1234.05726895514,1233.99771502063,1234.00073374840,1233.99994818510
1234.61758675620,1234.04534929392,1233.98662371926,1234.00033598148,1234.00006405046
1234.91283188421,1233.97276887307,1234.01932729408,1233.99993924202,1234.00017514730
1233.05484108774,1234.13545345176,1234.01171872983,1234.00047209308,1234.00012971154
1233.82639159900,1233.93117153004,1234.00858343318,1234.00000463505,1234.00027606640
1232.62352820206,1233.99859467760,1234.00486025736,1234.00075604590,1234.00012019945
1234.90740292638,1234.08020462437,1233.99991169660,1233.99929849432,1234.00004549880
1233.90939036436,1234.22354245889,1234.01425543078,1233.99880635419,1234.00012603144
1232.79099628121,1234.00202057990,1234.01238949729,1233.99963847892,1234.00011210970
1233.72841281564,1234.34008875159,1233.98843110978,1233.99853559213,1234.00001464778
1233.68369462455,1234.19796447355,1234.00671807266,1234.00058669101,1234.00001549334
1234.21008122079,1233.90231367976,1234.00282785985,1234.00109239090,1233.99994879099
1232.83736295048,1234.06700591680,1233.98103515376,1233.99943502914,1234.00007716514
1235.02620908310,1234.14424426366,1233.98984677334,1233.99922887759,1234.00008659726
1235.12996297723,1233.84200233176,1233.98144897997,1233.99975738047,1233.99996863084
1234.81063357118,1233.92853103784,1234.00111545133,1234.00069221293,1234.00006710916
1233.33958574720,1233.87669942143,1233.99111029320,1234.00187935546,1234.00001517163
1235.31508341924,1233.88269438725,1234.01975176578,1233.99915326408,1233.99995003634
1234.40175708753,1234.03708794337,1233.98885366388,1233.99998753908,1233.99993131235
1235.31806083783,1233.82746478748,1234.01396373896,1234.00072046232,1234.00002457613
1233.05616616736,1233.82254705923,1234.01180897936,1234.00166528811,1233.99995475753
1233.70545968711,1234.01609494794,1233.98867489734,1233.99939428710,1233.99998618314
1235.34800391934,1233.85736342406,1233.99920704905,1234.00332771046,1234.00005650974
1232.39893228559,1233.90910974707,1234.00030024496,1234.00027625884,1234.00001290558
1233.41276310985,1234.06010582205,1233.99138801363,1234.00104043007,1234.00011310934
1233.28357758995,1233.97619886115,1233.99901070442,1234.00167084271,1233.99994732730
1235.36380881640,1233.92868268037,1233.99944149696,1233.99944055490,1233.99994083623
1233.84014521554,1233.89282413622,1233.99983873726,1234.00170483538,1233.99988797704
1232.22912523906,1234.16096501005,1234.01237963115,1233.99955609907,1234.00006653006
1234.17498937818,1233.85794487682,1234.00151066998,1234.00023659946,1233.99993123566
1233.42309839348,1234.03669852106,1233.98983970429,1233.99960393874,1234.00004621141
1232.69817960618,1233.88730380661,1233.99823673387,1234.00030330212,1233.99995335591
1233.91653305879,1234.19994438091,1234.00122063534,1234.00097620992,1233.99993206064
1234.09289672026,1233.98441650442,1233.99029677830,1234.00016897452,1233.99999246433
1235.39245803964,1233.85800552216,1234.00147003781,1234.00020226048,1233.99978992316
1231.72961765432,1234.03687272456,1234.00923269017,1233.99991426363,1233.99994633134
1232.38528137016,1234.21255988954,1233.98405496943,1234.00024395895,1234.00012392529
1233.33273544834,1233.91836627131,1233.99649024196,1233.99984922496,1233.99999355994
1233.13550697104,1233.91289507566,1233.98651012557,1234.00005112869,1234.00001826515
1234.49707488420,1234.03667859131,1233.99113576612,1233.99882532770,1234.00009635298
1234.18174649557,1234.00236879315,1234.01945109047,1234.00080936497,1234.00009504799
1234.20961702363,1234.07763109485,1234.00003272770,1234.00059216601,1234.00009490954
1233.85085607161,1233.91726776677,1234.00444424040,1233.99960925409,1233.99992749674
1234.74281719386,1234.00671014450,1233.99160509386,1233.99957971447,1233.99994844649
1234.06079879057,1234.12538546911,1233.98993229410,1233.99791682214,1233.99996958234
1233.29378815059,1233.94128687335,1234.00600474116,1234.00023910888,1233.99998440545
1235.40684025557,1234.03550877940,1233.99478177571,1233.99949158066,1234.00011616140
1234.52100119737,1234.02741197933,1234.00946286626,1234.00017124914,1233.99996656152
1234.34264831755,1234.00337051409,1233.99837693685,1233.99980059888,1233.99995735333
1234.82852298554,1234.04003768842,1234.00448202139,1234.00054721919,1234.00007975373
1233.70413436303,1234.03847832550,1234.01204317891,1234.00141371240,1233.99998160251
1234.34646092953,1233.97848165403,1233.99936586372,1233.99967130793,1233.99997369739
1233.47912658391,1233.89918500976,1234.00091986367,1233.99978861272,1234.00003624757
1234.91966664686,1233.94486739235,1234.00580152404,1234.00060389417,1233.99991762954
1234.56411738405,1233.90552796992,1233.99868392485,1234.00010961137,1233.99997283719
1234.64552903434,1233.91368663641,1233.99466707632,1233.99994502248,1234.00008292156
1232.31640210389,1234.00085772490,1233.99933231866,1234.00132734590,1233.99997667867
1231.41016294830,1234.04653889539,1233.99138998682,1233.99863300811,1234.00018536616
1234.20875757541,1234.08481545939,1233.99511340977,1233.99897285015,1233.99999341678
1234.78138557676,1233.89827767297,1234.00940382092,1234.00043229667,1234.00002952944
1236.41702872501,1233.92485342272,1234.00062351172,1234.00018448488,1234.00004673359
1232.95192317790,1234.07600775959,1234.01295428148,1233.99941325747,1234.00012750035
1234.62142192009,1233.83293543706,1234.00455777265,1234.00058023708,1234.00000548681
1233.19847907794,1233.96353136489,1233.99479298677,1233.99969112774,1234.00002338529
1234.44025248267,1233.91285544359,1233.99784486880,1234.00086221968,1233.99993686728
1233.33554013136,1234.05767493995,1233.97590721906,1234.00032098976,1233.99987531229
1234.37725099416,1234.06330553577,1233.98014875804,1233.99863907438,1234.00021790231
1232.58443929627,1233.91817648177,1233.99625989217,1233.99925502602,1234.00004938393
1234.31952395857,1233.82767037915,1234.00682118856,1233.99975503523,1233.99998245692
1234.85462925427,1233.82009438033,1234.01544058296,1233.99996829396,1234.00008961101
1233.89274000323,1233.94410717094,1234.00608117438,1233.99985926040,1234.00005686083
1234.95778927260,1233.92302293027,1233.99759763071,1234.00135066227,1234.00013047725
1232.90217459093,1234.07876165723,1234.02196528995,1234.00008664446,1233.99988404136
1234.05126784845,1233.97675488512,1233.96965028805,1233.99949688315,1233.99986463576
1234.04923697233,1233.92615114553,1233.99582645956,1233.99875857839,1234.00000284029
1235.15194282559,1234.02057984127,1233.99288912132,1233.99928209568,1233.99992578079
1234.72542908071,1234.16078554189,1234.00685635174,1233.99959426555,1234.00008524933
1234.25748586147,1234.14113665872,1234.01947461805,1234.00094987540,1233.99989737432
1232.87414578841,1233.99590415528,1234.00631646732,1233.99925330192,1233.99992384488
1234.81867093955,1234.01156838872,1233.99221803176,1234.00050109360,1233.99988799894
1234.71591101973,1233.93555612379,1233.99789789308,1234.00100166030,1234.00012650680
1235.64320088938,1233.83944114800,1233.99180709359,1234.00009762496,1234.00010502833
1232.07783211222,1233.97125604416,1233.99310074351,1233.99985999918,1234.00002114059
1234.86395069632,1234.10731116126,1233.98882399432,1233.99777108793,1234.00000261623
1233.80306926929,1234.05637065304,1234.00376168645,1234.00079928225,1233.99996414637
1236.05356845281,1234.19000818078,1233.99971639737,1233.99914993237,1233.99999637375
1234.38944477029,1233.93979791891,1233.99221360432,1234.00212786382,1233.99997772680
1234.08923119262,1233.92029215354,1233.99614340409,1234.00152967444,1234.00018451277
1232.40899820819,1233.97825272740,1233.98767079212,1234.00107356238,1234.00017935585
1234.68668931623,1234.09968163365,1234.00666887254,1234.00045831424,1234.00002785169
1233.68179527342,1234.05792774163,1234.02583190124,1233.99929375967,1234.00000821780
1235.01506013915,1234.00214660986,1234.01941484992,1234.00006104635,1234.00001693035
1234.42314905465,1233.98642777339,1233.99209072059,1234.00120611183,1234.00001436906
1232.52136338885,1233.97127729953,1233.99034021067,1233.99874033522,1233.99997724413
1234.17012424760,1234.06831577381,1234.00079239444,1233.99949964428,1234.00001823046
1233.37570631913,1234.03791741454,1233.99940857308,1234.00258286759,1233.99987128510
1233.43861354603,1233.98685717897,1234.00068806670,1234.00132731118,1233.99992205489
1234.76309671959,1233.94162418623,1234.00942543857,1234.00030991913,1233.99992423370
1233.27313815018,1233.93716583666,1233.97915256830,1234.00137964357,1234.00006495765
1233.85091613281,1234.10374944594,1233.99724875955,1233.99918044814,1233.99972819222
1234.12069475476,1233.98127260049,1233.98901039490,1233.99990043869,1233.99998058074
1231.14534014068,1233.94653296635,1233.99444938369,1234.00174452523,1234.00000343674
1234.77945115367,1234.08951550051,1233.99504334767,1234.00000259046,1233.99997942997
1233.78995516489,1234.13889503305,1234.00016153866,1234.00021752915,1234.00003917519
1233.68098234787,1233.98343587987,1234.01289694988,1233.99965888205,1233.99997726801
1233.95161469792,1234.08719454524,1234.00827629892,1233.99906599248,1234.00010476303
1234.59247276313,1233.96752283638,1234.00484134911,1234.00010453353,1233.99999067176
1234.64039951606,1233.95758254655,1234.00844623537,1234.00004656896,1234.00003753103
1234.70750942042,1234.19694130602,1233.99384767409,1234.00083810059,1234.00001517283
1234.60645635978,1233.78756049668,1234.00147434527,1234.00011314974,1234.00010186989
1235.01406200440,1234.05094947039,1234.00281675401,1233.99832542676,1233.99982050326
1233.91276573058,1234.18514217676,1234.00033474897,1234.00011070246,1234.00014545069
1234.14932609672,1233.93028510430,1233.99985064353,1234.00040066098,1233.99985849470
1232.71557015850,1233.94775751023,1233.99905696806,1234.00056703199,1234.00001440182
1234.58481826957,1233.75441270304,1234.00372227056,1234.00152389910,1233.99998266310
1234.28228893403,1234.16764943576,1233.99662269689,1234.00257319964,1234.00004615712
1233.54337100920,1233.88834895411,1234.00035662012,1234.00067605530,1233.99991533504
1233.41241642917,1233.92138450444,1234.00138917077,1234.00036913056,1234.00014003332
1232.93759407466,1233.98393206342,1233.98043795524,1233.99801441705,1233.99998725734
1231.76010328277,1234.08403708210,1234.00219467454,1234.00081632032,1233.99994659314
1233.90576708586,1233.89377740208,1233.99828625845,1234.00003029735,1234.00006350882
1234.48031131868,1233.96633157841,1234.00363888003,1234.00008121196,1233.99977755450
1232.03268771063,1234.05483628240,1234.01440509248,1234.00129676173,1233.99996646841
1233.58041290912,1234.05627357131,1234.01133399144,1234.00087531133,1233.99987901064
1235.84910615693,1234.07778076297,1234.00640210498,1233.99954474976,1234.00007685662
1234.95075441967,1233.89834304005,1233.99595447819,1234.00012616772,1233.99979662791
1233.13228788492,1234.01899898350,1234.01903005663,1233.99990467066,1234.00016487582
1232.23081644325,1234.06339629522,1233.99169644780,1233.99951661951,1233.99981538655
1233.31507284302,1234.05858918671,1233.98304064316,1234.00045066110,1234.00009808542
1234.22797061399,1234.02653894216,1233.99031517209,1234.00107115066,1233.99980956681
1232.36721742871,1234.11177291539,1233.99830531348,1233.99908425443,1233.99995792037
1233.79818095218,1234.07523915052,1233.97674240293,1234.00001847418,1234.00011192281
1233.94673737428,1233.91857514945,1233.99147367688,1233.99926657735,1233.99978244905
1233.71700118805,1234.04250807851,1233.99670658181,1234.00258331720,1234.00012949788
